*;base;bg;Adjective;Genitive;Indefinite;Plural
default;;{base};{base};{base};{base}
tn_Bulgaria;България;български;на България;българска;българи
tn_Bulgaria_681;България;български;на България;българска;българи
tn_Byzantium;Византия;византийски;на Византия;византийска;византийци
tn_Umayyads;Омаяди;арабски;на Омаядите;арабски;араби
tn_Visigoths;Вестготи;вестготски;на вестготите;вестготско;вестготи
tn_Franks;Франки;франкски;на франките;франкско;франки
tn_Lombards;Лангобарди;лангобардски;на лангобардите;лангобардско;лангобарди
tn_Avars;Авари;аварски;на аварите;аварски;авари
tn_Khazars;Хазарски хаганат;хазарски;на хазарите;хазарски;хазари
tn_Mercia;Мерсия;английски;на Мерсия;английска;англичани
tn_Northumbria;Нортумбрия;английски;на Нортумбрия;английска;англичани
tn_Wessex;Уесекс;английски;на Уесекс;английска;англичани
tn_Alba;Алба;пиктски;на Алба;пиктска;пикти
tn_Dal_Riata;Дал Риада;гелски;на Дал Риада;гелска;гели
tn_Powys;Поуис;уелски;на Поуис;уелска;уелсци
tn_Venice;Венеция;венециански;на Венеция;венецианска;венецианци
tn_Papal_States;Папска държава;папски;на Папската държава;папска;папски
tn_Garamantes;Гараманти;берберски;на гарамантите;берберска;гараманти
tn_Exarchate_of_Africa;Африкански екзархат;византийски;на екзархата;византийска;византийци
tn_Zenata;Зената;берберски;на Зената;берберска;бербери
tn_Beroea;Бероя;византийски;на Бероя;византийска;византийци
tn_Kent;Кент;английски;на Кент;английска;англичани
tn_East_Anglia;Източна Англия;английски;на Източна Англия;английска;англичани
tn_Essex;Есекс;английски;на Есекс;английска;англичани
tn_Sussex;Съсекс;английски;на Съсекс;английска;англичани
tn_Aksum;Аксуми;етиопски;на Аксум;етиопска;етиопци
tn_Makuria;Макурия;нубийски;на Макурия;нубийска;нубийци
tn_Bavaria;Бавария;баварски;на Бавария;баварска;баварци
tn_Aquitaine;Аквитания;аквитански;на Аквитания;аквитанска;аквитанци
tn_Armenia;Армения;арменски;на Армения;арменска;арменци
tn_Lazika;Лазика;лазки;на Лазика;лазка;лази
tn_Shirvan;Ширван;ширвански;на Ширван;ширванска;ширванци
tn_Tarnovo;Търново;Търново;;;;
tn_Cyprus;Ларнака;Ларнака;;;;
tn_Crete;Ираклион;Ираклион;;;;
tn_Rhodes;Родос;Родос;;;;
tn_Crimea;Херсонес;Херсонес;;;;
tn_Taman;Таматарха;Таматарха;;;;
tn_Sardinia;Каралис;Каралис;;;;
tn_Dyrrachion;Дуръс;Дуръс;;;;
tn_Apulia;Апулия;Апулия;;;;
tn_Calabria;Реджо;Реджо;;;;
tn_Bari;Барион;Барион;;;;
tn_Reggio;Регион;Регион;;;;
tn_Palermo;Панормос;Панормос;;;;
tn_Syracuse;Сиракуза;Сиракуза;;;;
tn_Cagliari;Каляри;Каляри;;;;
tn_Bursa;Бурса;Бурса;;;;
tn_Nicaea;Изник;Изник;;;;
tn_Izmir;Измир;Измир;;;;
tn_Menteshe;Милас;Милас;;;;
tn_Sardis;Сарт;Сарт;;;;
tn_Ankara;Анкара;Анкара;;;;
tn_Lycia;Анталия;Анталия;;;;
tn_Konya;Кония;Кония;;;;
tn_Amasya;Амасия;Амасия;;;;
tn_Cappadocia;Кайсери;Кайсери;;;;
tn_Adiyaman;Самсат;Самсат;;;;
tn_Chaldia;Трабзон;Трабзон;;;;
tn_Cilicia;Тарс;Тарс;;;;
tn_Antioch;Антакия;Антакия;;;;
tn_Edessa;Едеса;Едеса;;;;
tn_Severin;Северин;Северин;;;;
tn_Bdin;Бдин;Бдин;;;;
tn_Ohrid;Охрид;Охрид;;;;
tn_Sredets;Средец;Средец;;;;
tn_Strymon;Струма;Струма;;;;
tn_Thrace;Тракия;Тракия;;;;
tn_Tunisia;Тунис;Тунис;;;;
tn_Hermonassa;Хермонаса;Хермонаса;;;;
tn_Achris;Ахрида;Ахрида;;;;
tn_Bononia;Бонония;Бонония;;;;
tn_Margus;Маргус;Маргус;;;;
tn_Hadrianopolis;Одрин;Одрин;;;;
tn_Seleucia_Ctesiphon;Селевкия-Ктезифон;Селевкия-Ктезифон;;;;
tn_Roma;Рим;Рим;;;;
tn_Neapolis;Неаполис;Неаполис;;;;
tn_Florentia;Флоренция;Флоренция;;;;
tn_Yedisan;Едисан;Едисан;;;;
tn_Bessarabia;Бесарабия;Бесарабия;;;;
tn_Wallachia;Влахия;влашки;на Влахия;влашка;власи
tn_Moldavia;Молдова;Молдова;;;;
tn_Branichevo;Маргус;Маргус;;;;
tn_Nis;Наисус;Наисус;;;;
tn_London;Лондон;Лондон;;;;
tn_Kent;Кантварабург;Кантварабург;;;;
tn_Hampshire;Уинтанцестер;Уинтанцестер;;;;
tn_Devon;Ексецестер;Ексецестер;;;;
tn_Warwickshire;Ваеринквик;Ваеринквик;;;;
tn_Nottinghamshire;Снотингахам;Снотингахам;;;;
tn_Yorkshire;Йорк;Йорк;;;;
tn_Northumberland;Манкчестер;Манкчестер;;;;
tn_Aquitaine;Бурдигала;Бурдигала;;;;
tn_Poitou;Пиктавиум;Пиктавиум;;;;
tn_Normandy;Ротомагус;Ротомагус;;;;
tn_Orleannais;Аурелианум;Аурелианум;;;;
tn_Lyonnais;Лугдунум;Лугдунум;;;;
tn_Toulouse;Толоза;Толоза;;;;
tn_Provence;Масалия;Масалия;;;;
tn_Burgundy;Дивио;Дивио;;;;
tn_Lorraine;Нанциакум;Нанциакум;;;;
tn_Navarra;Помпаело;Помпаело;;;;
tn_Estremadura;Олисипо;Олисипо;;;;
tn_Algarve;Осоноба;Осоноба;;;;
tn_Catalonia;Барцино;Барцино;;;;
tn_Valencia;Валенция;Валенция;;;;
tn_Zaragoza;Цезараугуста;Цезараугуста;;;;
tn_Andalucia;Хиспалис;Хиспалис;;;;
tn_Cordoba;Кордуба;Кордуба;;;;
tn_Granada;Елвира;Елвира;;;;
tn_Bavaria;Аугуста Винделикорум;Аугуста Винделикорум;;;;
tn_Hamburg;Хамабург;Хамабург;;;;
tn_Bremen;Бремон;Бремон;;;;
tn_Thuringia;Ерфесфурт;Ерфесфурт;;;;
tn_Pfalz;Борбетомагус;Борбетомагус;;;;
tn_Rhineland;Колония Агрипина;Колония Агрипина;;;;
tn_Alsace;Аргенторатум;Аргенторатум;;;;
tn_Austria;Виндобона;Виндобона;;;;
tn_Switzerland;Турикум;Турикум;;;;
tn_Tunisia;Тунис;Тунис;;;;
tn_Algiers;Икозум;Икозум;;;;
tn_Tlemcen;Помария;Помария;;;;
tn_Lothian;Единбург;Единбург;;;;
tn_Liguria;Генуа;Генуа;;;;
tn_Targoviste;Търговище;Търговище;;;;
tn_Constantinopolis;Константинопол;Константинопол;;;;
tn_Trapezitsa;Трапезица;Трапезица;;;;
tn_Odessos;Одесос;Одесос;;;;
tn_Serdica;Сердика;Сердика;;;;
tn_Bononia;Бонония;Бонония;;;;
tn_Lundenwic;Лунденвик;Лунденвик;;;;
tn_Eoforwic;Еофорвик;Еофорвик;;;;
tn_Din_Eidyn;Дин Ейдин;Дин Ейдин;;;;
tn_Konstantinoupolis;Константинополис;Константинополис;;;;
tn_Naissus;Наисус;Наисус;;;;
tn_Achris;Ахрида;Ахрида;;;;
tn_Tamatarucha;Таматарха;Таматарха;;;;
tn_Chersonesos;Херсонес;Херсонес;;;;
tn_Ephedamnos;Епидамн;Епидамн;;;;
tn_Barion;Барион;Барион;;;;
tn_Rhegion;Регион;Регион;;;;
tn_Monkchester;Монкчестър;Монкчестър;;;;
tn_Lychnidos;Лихнидос;Лихнидос;;;;
tn_Burdigala;Бурдигала;Бурдигала;;;;
tn_Thessaloniki;Тесалоники;Тесалоники;;;;
tn_Hadrianopolis;Адрианопол;Адрианопол;;;;
tn_Seleucia-Ctesiphon;Селевкия-Ктезифон;Селевкия-Ктезифон;;;;
tn_Fustat;Фустат;Фустат;;;;
tn_Tunes;Тунес;Тунес;;;;
tn_Icosium;Икозиум;Икозиум;;;;
tn_Pomaria;Помария;Помария;;;;
tn_Ankyra;Анкира;Анкира;;;;
tn_Attalea;Аталея;Аталея;;;;
tn_Amaseia;Амасия;Амасия;;;;
tn_Trapezous;Трапезус;Трапезус;;;;
tn_Theodosiopolis;Теодосиополис;Теодосиополис;;;;
tn_Panormos;Панормос;Панормос;;;;
tn_Karalis;Каралис;Каралис;;;;
tn_Athenai;Атина;Атина;;;;
tn_Nikopolis;Никополис;Никополис;;;;
tn_Lacedaemon;Лакедемон;Лакедемон;;;;
tn_Prusa;Пруса;Пруса;;;;
tn_Nicaea;Никея;Никея;;;;
tn_Smyrne;Смирна;Смирна;;;;
tn_Mylasa;Миласа;Миласа;;;;
tn_Sardeis;Сарди;Сарди;;;;
tn_Ankyra;Анкира;Анкира;;;;
tn_Attaleia;Аталея;Аталея;;;;
tn_Ikonion;Иконион;Иконион;;;;
tn_Amaseia;Амасия;Амасия;;;;
tn_Kaisareia;Кесария;Кесария;;;;
tn_Samosata;Самосата;Самосата;;;;
tn_Trapezous;Трапезус;Трапезус;;;;
tn_Tarsos;Тарс;Тарс;;;;
tn_Antiocheia;Антиохия;Антиохия;;;;
tn_Tunes;Тунес;Тунес;;;;
tn_Seleucia_Ctesiphon;Селевкия-Ктезифон;Селевкия-Ктезифон;;;;
tn_Missionis;Мисионис;Мисионис;;;;
cu_Steppe;Степи;степна;на степите;степна;степи
cu_Kutrigur;Кутригури;кутригурска;на кутригурите;кутригурска;кутригури
cu_Bulgarian;Българи;българска;на българите;българска;българи
cu_Byzantine;Византийци;византийска;на византийците;византийска;византийци
cu_Arab;Араби;арабска;на арабите;арабска;араби
cu_Khazar;Хазари;хазарска;на хазарите;хазарска;хазари
cu_Avar;Авари;аварска;на аварите;аварска;авари
