*;base
culture_Steppe;Steppe
culture_group_Steppe;Steppe
culture_Pictish;Pictish
culture_group_Gaelic;Gaelic
culture_Nubian;Nubian
culture_Berber;Berber
culture_group_Berber;Berber
culture_Alanian;Alanian
culture_Khazar;Khazar
culture_group_Turkic;Turkic
culture_Irish;Irish
culture_Scottish;Scottish
culture_Welsh;Welsh
culture_Armenian;Armenian
culture_Georgian;Georgian
culture_group_Caucasian;Caucasian
culture_Kurdish;Kurdish
culture_group_Iranian;Iranian
culture_Tuareg;Tuareg
culture_Bulgarian;Bulgarian
culture_group_Slavic;Slavic
culture_Byzantine;Byzantine
culture_group_Byzantine;Byzantine
culture_Spanish;Spanish
culture_group_Spanish;Spanish
culture_Frankish;Frankish
culture_group_Frankish;Frankish
culture_Lombard;Lombard
culture_group_Lombard;Lombard
culture_Germanic;Germanic
culture_group_Germanic;Germanic
culture_Anglo_Saxon;Anglo-Saxon
culture_group_Anglo_Saxon;Anglo-Saxon
culture_Venetian;Venetian
culture_group_Italian;Italian
culture_Ethiopic;Ethiopic
culture_group_Ethiopic;Ethiopic
culture_Garamantian;Garamantian
culture_Lazan;Lazan
culture_Shirvani;Shirvani
culture_group_African;African
culture_Zenata;Zenata
