*;base;s
default;;{base}'s
cn_Asparuh.m;Asparuh;Asparuh's
cn_Konstantinos_4.m;Konstantinos IV;Konstantinos IV's
cn_Yazid_1.m;Yazid I;Yazid I's
cn_Ervig.m;Ervig;Ervig's
cn_Theuderic_3.m;Theuderic III;Theuderic III's
cn_Perctarit.m;Perctarit;Perctarit's
cn_Aethelred.m;Aethelred;Aethelred's
cn_Ecgfrith.m;Ecgfrith;Ecgfrith's
cn_Centwine.m;Centwine;Centwine's
cn_Bruide_3.m;Bruide III;Bruide III's
cn_Fearchar_Fada.m;Fearchar Fada;Fearchar Fada's
cn_Gwylog.m;Gwylog;Gwylog's
cn_Agatho.m;Agatho;Agatho's
cn_Merkurios.m;Merkurios;Merkurios's
cn_Aksum_King.m;Negus of Aksum;Negus's
cn_Garamant_King.m;King of Garamantes;King's
cn_Avar_Khagan.m;Avar Khagan;Khagan's
cn_Khazar_Khagan.m;Khazar Khagan;Khagan's
